,Road_shape,speed,light,weather,result
0,0.6,0.711764705882353,0.5217391304347826,0.8,0
1,0.6,0.2705882352941177,0.5652173913043478,0.8,1
2,0.6,0.35882352941176465,0.6086956521739131,0.8,1
3,0.6,0.8294117647058823,0.6086956521739131,0.8,0
4,0.6,0.9941176470588236,0.17391304347826086,0.2,0
5,0.6,0.37058823529411766,0.08695652173913043,0.35,1
6,0.6,0.16470588235294117,0.5652173913043478,0.2,1
7,0.6,0.36470588235294116,0.21739130434782608,0.2,1
8,0.6,0.8352941176470589,0.6956521739130435,0.35,0
9,0.6,0.5058823529411764,0.21739130434782608,0.35,0
10,0.6,0.8294117647058823,0.4782608695652174,0.7,0
11,0.6,0.08235294117647059,0.5652173913043478,0.7,1
12,0.6,0.8823529411764706,0.5652173913043478,0.7,0
13,0.6,0.2823529411764706,0.6521739130434783,0.0,1
14,0.6,0.5235294117647059,0.7391304347826086,0.0,0
15,0.6,0.7705882352941176,0.8695652173913043,0.8,0
16,0.6,0.7235294117647059,0.21739130434782608,0.2,0
17,0.6,0.6235294117647059,0.6956521739130435,0.0,0
18,0.6,0.8941176470588236,0.7826086956521738,0.2,0
19,0.6,0.5705882352941176,0.9565217391304348,0.8,0
20,0.6,0.8,0.17391304347826086,0.8,0
21,0.6,0.4470588235294118,0.6956521739130435,0.8,1
22,0.6,0.8647058823529412,0.43478260869565216,0.35,0
23,0.6,0.9529411764705883,0.5652173913043478,0.7,0
24,0.6,0.06470588235294117,0.0,0.0,1
25,0.6,0.38823529411764707,0.08695652173913043,0.35,1
26,0.6,0.11764705882352941,0.7391304347826086,0.35,1
27,0.6,0.676470588235294,0.8260869565217391,0.8,0
28,0.6,0.7411764705882353,0.08695652173913043,0.35,0
29,0.6,0.16470588235294117,0.6086956521739131,0.5,1
30,0.6,0.38823529411764707,0.7391304347826086,0.5,1
31,0.6,0.711764705882353,0.34782608695652173,0.2,0
32,0.6,0.3058823529411765,0.34782608695652173,0.7,1
33,0.6,0.8470588235294118,0.8695652173913043,0.35,0
34,0.6,0.37647058823529417,0.17391304347826086,0.7,1
35,0.6,0.2823529411764706,1.0,0.35,1
36,0.6,0.9411764705882353,0.4782608695652174,0.0,0
37,0.6,0.35294117647058826,0.7826086956521738,0.2,1
38,0.6,0.5882352941176471,0.4782608695652174,0.35,0
39,0.6,0.29411764705882354,0.34782608695652173,0.8,1
40,0.6,0.7764705882352941,0.17391304347826086,0.5,0
41,0.6,0.788235294117647,0.9130434782608695,0.35,0
42,0.6,0.37647058823529417,0.21739130434782608,0.35,1
43,0.6,0.5882352941176471,0.9565217391304348,0.35,0
44,0.6,0.4470588235294118,0.30434782608695654,0.5,1
45,0.6,0.48,0.3913043478260869,0.5,0
46,0.6,0.06999999999999999,0.7391304347826086,0.0,1
47,0.6,0.21999999999999997,0.08695652173913043,0.7,1
48,0.6,0.9,0.6086956521739131,0.5,0
49,0.6,0.57,0.17391304347826086,0.2,0
50,0.5,0.085,0.5217391304347826,0.7,1
51,0.5,0.5349999999999999,0.7391304347826086,0.7,0
52,0.5,0.905,0.2608695652173913,0.2,0
53,0.5,0.7999999999999999,0.8695652173913043,0.35,0
54,0.5,0.855,0.2608695652173913,0.2,0
55,0.5,0.6649999999999999,0.2608695652173913,0.0,0
56,0.5,0.9650000000000001,0.7826086956521738,0.35,0
57,0.5,0.635,0.9130434782608695,0.2,0
58,0.5,0.9699999999999999,0.7826086956521738,0.35,0
59,0.5,0.065,0.43478260869565216,0.35,1
60,0.6,0.3,0.21739130434782608,0.2,1.0
61,0.6,0.96,0.9130434782608695,0.2,0.0
62,0.6,0.505,0.5217391304347826,0.2,0.0
63,0.6,0.425,0.7826086956521738,0.5,1.0
64,0.6,0.135,0.08695652173913043,0.35,1.0
65,0.6,0.08,0.2608695652173913,0.2,1.0
66,0.6,0.135,0.34782608695652173,0.7,1.0
67,0.6,0.29,0.6086956521739131,0.8,1.0
68,0.6,0.26499999999999996,1.0,0.35,1.0
69,0.6,0.71,0.6956521739130435,0.35,0.0
70,0.6,0.5299999999999999,0.9565217391304348,0.2,0.0
71,0.6,0.615,0.6521739130434783,0.35,0.0
72,0.6,0.37499999999999994,0.6086956521739131,0.7,1.0
73,0.6,0.8949999999999999,0.3913043478260869,0.0,0.0
74,0.6,0.105,0.9130434782608695,0.35,1.0
75,0.6,0.21999999999999997,0.8260869565217391,0.0,1.0
76,0.6,0.845,0.9130434782608695,0.5,0.0
77,0.6,0.105,0.6956521739130435,0.35,1.0
78,0.6,0.8949999999999999,0.2608695652173913,0.0,0.0
79,0.6,0.425,0.8260869565217391,0.5,0.0
80,0.6,0.77,0.043478260869565216,0.35,0
81,0.6,0.115,0.5217391304347826,0.5,1
82,0.6,0.625,0.6521739130434783,0.35,0
83,0.6,0.975,0.17391304347826086,0.8,0
84,0.6,0.3,0.8695652173913043,0.5,1
85,0.6,0.115,0.5217391304347826,0.0,1
86,0.6,0.295,0.6086956521739131,0.7,1
87,0.6,0.16499999999999998,0.6956521739130435,0.8,1
88,0.6,0.09999999999999999,0.34782608695652173,0.0,1
89,0.6,0.8849999999999999,0.4782608695652174,0.5,0
90,0.6,0.275,0.9565217391304348,0.0,1
91,0.6,0.705,0.30434782608695654,0.35,0
92,0.6,0.65,1.0,0.8,0
93,0.6,0.565,0.5217391304347826,0.35,0
94,0.6,0.145,0.6521739130434783,0.7,1
95,0.6,0.27,0.8260869565217391,0.2,1
96,0.6,0.57,0.6956521739130435,0.0,0
97,0.6,0.91,0.17391304347826086,0.7,0
98,0.6,0.57,0.6521739130434783,0.35,0
99,0.6,0.225,0.43478260869565216,0.35,1
100,0.6,0.27,0.08695652173913043,0.7,1
101,0.6,0.815,0.5217391304347826,0.5,0
102,0.6,0.44499999999999995,0.6086956521739131,0.8,0
103,0.6,0.275,0.21739130434782608,0.2,1
104,0.6,0.735,0.6521739130434783,0.35,0
105,0.6,0.84,0.21739130434782608,0.5,0
106,0.6,0.365,0.17391304347826086,0.7,1
