,NonError,Error,Accuracy
0,70.0,45.0,0.6086956521739131
1,63.0,52.0,0.5478260869565217
2,60.0,55.0,0.5217391304347826
3,53.0,62.0,0.4608695652173913
4,64.0,51.0,0.5565217391304348
5,81.0,34.0,0.7043478260869566
6,84.0,31.0,0.7304347826086957
7,89.0,26.0,0.7739130434782608
8,63.0,52.0,0.5478260869565217
9,93.0,22.0,0.808695652173913
10,98.0,17.0,0.8521739130434782
11,94.0,21.0,0.8173913043478261
12,104.0,11.0,0.9043478260869565
13,106.0,9.0,0.9217391304347826
14,107.0,8.0,0.9304347826086956
15,108.0,7.0,0.9391304347826087
16,108.0,7.0,0.9391304347826087
17,106.0,9.0,0.9217391304347826
18,107.0,8.0,0.9304347826086956
19,107.0,8.0,0.9304347826086956
20,107.0,8.0,0.9304347826086956
21,108.0,7.0,0.9391304347826087
22,109.0,6.0,0.9478260869565217
23,108.0,7.0,0.9391304347826087
24,108.0,7.0,0.9391304347826087
25,106.0,9.0,0.9217391304347826
26,107.0,8.0,0.9304347826086956
27,107.0,8.0,0.9304347826086956
28,106.0,9.0,0.9217391304347826
29,108.0,7.0,0.9391304347826087
30,109.0,6.0,0.9478260869565217
31,108.0,7.0,0.9391304347826087
32,109.0,6.0,0.9478260869565217
33,110.0,5.0,0.9565217391304348
34,109.0,6.0,0.9478260869565217
35,109.0,6.0,0.9478260869565217
36,109.0,6.0,0.9478260869565217
37,109.0,6.0,0.9478260869565217
38,109.0,6.0,0.9478260869565217
39,111.0,4.0,0.9652173913043478
40,109.0,6.0,0.9478260869565217
41,109.0,6.0,0.9478260869565217
42,109.0,6.0,0.9478260869565217
43,110.0,5.0,0.9565217391304348
44,109.0,6.0,0.9478260869565217
45,111.0,4.0,0.9652173913043478
46,111.0,4.0,0.9652173913043478
47,111.0,4.0,0.9652173913043478
48,111.0,4.0,0.9652173913043478
49,111.0,4.0,0.9652173913043478
50,111.0,4.0,0.9652173913043478
51,111.0,4.0,0.9652173913043478
52,111.0,4.0,0.9652173913043478
53,111.0,4.0,0.9652173913043478
54,111.0,4.0,0.9652173913043478
55,111.0,4.0,0.9652173913043478
56,111.0,4.0,0.9652173913043478
57,111.0,4.0,0.9652173913043478
58,111.0,4.0,0.9652173913043478
59,111.0,4.0,0.9652173913043478
60,111.0,4.0,0.9652173913043478
61,111.0,4.0,0.9652173913043478
62,111.0,4.0,0.9652173913043478
63,111.0,4.0,0.9652173913043478
64,111.0,4.0,0.9652173913043478
65,111.0,4.0,0.9652173913043478
66,111.0,4.0,0.9652173913043478
67,111.0,4.0,0.9652173913043478
